2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\HistoryLikeViewRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\LikeTrackViewRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\MemberAgeViewRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\MemberRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\MusicLikeRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\MusicTagRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\MyMusicLikesRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\PlaylistRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\PlaylistTrackRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\QnaAnswerRepository.class]
